xMin 0.0 xMax 20.0 yMin 0.0 yMax 10.3923048454133 zMin 0.50 zMax 22.0
Particles 3480
id	x-position	y-position	z-position	radius
482	16.0531538239779	8.5511247414414	5.54505381099364	0.5
483	3.25091765711953	9.54639340073422	7.56093335777167	0.5
484	0.333094128833115	9.16652318308685	6.47120412843209	0.5
485	11.3948361020196	9.93508974343314	10.1368037534178	0.5
486	12.9715624773503	3.69510676082274	1.65154207347199	0.5
487	6.58734057330763	2.71800380417557	7.93465454664229	0.5
488	7.56041934731589	1.74696087122437	19.5004100482994	0.5
489	5.98275211050283	5.40571639998456	13.7407789427355	0.5
490	2.78628784079224	1.36948150231995	9.07169440163901	0.5
491	17.85695556332	9.31583545471548	20.4233527711905	0.5
492	6.78772217332622	6.52969847342108	4.42830813333004	0.5
493	4.4799002266002	1.58446962566906	13.3619748220595	0.5
494	8.27943829195448	6.9902031189416	5.78011489978754	0.5
495	7.93252024064316	1.08217490616556	2.27195260563175	0.5
496	17.8282880624811	5.32687945681537	12.175306096858	0.5
497	5.01911537213491	4.68298674853574	2.06711638292059	0.5
498	1.88867167712285	5.87931043743123	4.76693529093835	0.5
499	12.9777731901638	0.976559313025911	11.4281280505942	0.5
500	16.8499116813009	10.1029416521023	17.9785728510432	0.5
501	18.6673076133491	3.09980863127629	20.4483129327358	0.5
502	6.83259697208857	4.06905807335946	17.1241387693747	0.5
503	10.808015888771	0.628208497523501	5.76952090482431	0.5
504	0.847899125375916	1.43752801089622	19.5974975969362	0.5
505	6.94381285400909	0.131915773476046	9.55560996586306	0.5
506	1.4588640711136	5.19032210845753	2.55195306866928	0.5
507	7.84529082715014	2.06886131512945	4.64867206185084	0.5
508	4.92555715641352	2.65196554856238	1.48884251821364	0.5
509	18.4053028585795	6.53673614990428	16.8501015383588	0.5
510	9.86357403896851	2.1920410789643	18.8635571581502	0.5
511	10.7706174966757	8.44802240215816	14.2764542165923	0.5
512	19.8978216066509	4.6355343888041	10.9101433254831	0.5
513	8.3079985083491	7.11628702469949	1.77223235906756	0.5
514	4.7979262433631	2.00912739591673	2.65733358177644	0.5
515	7.22540908549662	9.62946851653495	10.8919658170062	0.5
516	6.17984773922159	9.15020032738139	11.5390621096946	0.5
517	18.3873201715858	6.06215973406855	10.12060640007	0.5
518	7.46176487575527	3.38547279893513	12.0975840493731	0.5
519	5.573623994123	5.87171221377495	4.13820305447428	0.5
520	5.50161767139131	6.01928779858769	7.77993329540443	0.5
521	6.6709288196187	3.67888373615526	20.0153560597845	0.5
522	0.324886831638024	1.793908562522	14.8799578858514	0.5
523	5.36765607423115	2.02165267542179	17.7806911413509	0.5
524	0.380852458730314	8.69042952860927	20.4292656154914	0.5
525	15.5494205157584	8.1052903669041	19.3012611909287	0.5
526	15.9688026058735	6.01912742120782	17.1346054829571	0.5
527	7.33189624122367	3.10721306436034	1.65138663501555	0.5
528	0.188849011534509	6.29354618542721	1.90190779695457	0.5
529	10.9174215429694	8.60546935332736	8.5911926091988	0.5
530	7.79420377367167	8.39609796471021	20.5184117021699	0.5
531	7.17243778024992	3.01469713009921	19.445397833413	0.5
532	19.8126663548489	9.62654996294658	8.73148347409954	0.5
533	2.152360632552	5.04347143227119	12.2158389830016	0.5
534	6.10258898364381	6.53220462894034	16.865447920501	0.5
535	8.34125469157054	8.11673308737715	6.77875709680981	0.5
536	6.50218196297372	2.37622865621089	2.9029165451459	0.5
537	0.648224794032565	9.50775690332132	17.5188804091693	0.5
538	18.2143007231203	1.07599731260234	16.7085406769525	0.5
539	12.9027013856622	9.83938730047312	2.63190655873165	0.5
540	8.51384551013066	3.30824521746536	7.52993594393242	0.5
541	8.52424970889841	9.58831084381606	18.7749051664421	0.5
542	12.5024076812715	0.955221737683691	19.5744027091225	0.5
543	17.3201549891275	4.91792858094455	18.280320372353	0.5
544	9.39304554226748	3.7989674099024	10.1008559290845	0.5
545	6.06032253418055	8.67575361341083	17.4228550588708	0.5
546	10.4335593070141	7.89475822610332	3.57062966311302	0.5
547	0.536214920242688	6.91649895338941	15.4101032113125	0.5
548	13.3761648453945	4.76805378750989	6.77688199126207	0.5
549	2.06957016537664	10.1501794242271	8.19393977490776	0.5
550	4.79564159008304	1.1244310970931	11.3427686190284	0.5
551	5.37697395265532	3.44842722768257	16.2167822562485	0.5
552	12.4991673490043	0.629687017016219	7.88601739274284	0.5
553	19.5890816635934	0.647189764381153	17.1046120940632	0.5
554	9.27642092282525	2.0152758106374	8.75387078897874	0.5
555	3.46270269326301	4.56464593278854	4.8263836952751	0.5
556	12.9488487442444	7.68581549835959	5.93959529068354	0.5
557	11.3539478456056	6.52685217584576	11.8271121371961	0.5
558	12.5709774258287	8.34111758728117	16.2627782210884	0.5
559	14.2072083984099	7.4714718264917	13.5122877171066	0.5
560	4.21347597779845	6.24109239216315	18.7914175398733	0.5
561	2.53932672774734	7.3918761566687	3.03541500904146	0.5
562	4.30669462117702	9.87790207121759	2.09857326204454	0.5
563	0.437067272253564	4.31246889658468	18.6599067534606	0.5
564	12.581186516303	8.51656214427486	13.9822196706568	0.5
565	8.15273342449206	6.04209554723528	18.609480561905	0.5
566	5.6860264369953	5.65983231270264	18.6380306162902	0.5
567	10.0427359645942	2.57311751752384	16.9050066595497	0.5
568	16.8688758389854	4.40101370701082	14.9992725258065	0.5
569	6.02245684868799	1.12597009171506	11.5090299844081	0.5
